#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      2.69e+01    2.50e+01      2.37e-01    2.09e-01      8.46e-01    7.87e-01      3.64e-02    5.97e-02    1.0e-03
     10      5.68e+01    2.27e+01      3.19e-01    9.90e-02      1.79e+00    7.16e-01      1.41e-01    7.20e-02    7.9e-04
     20      6.28e+01    2.27e+01      1.17e-01    1.42e-01      1.99e+00    7.09e-01      9.17e-02    1.43e-01    6.3e-04
     30      2.55e+01    5.89e+01      2.82e-01    1.61e-01      7.90e-01    1.86e+00      1.75e-01    1.58e-01    5.0e-04
     40      6.82e+01    2.79e+01      2.68e-01    1.93e-01      2.15e+00    8.65e-01      1.10e-01    2.05e-01    4.0e-04
     50      2.25e+01    1.76e+01      1.15e-01    1.28e-01      7.09e-01    5.52e-01      7.73e-02    8.16e-02    3.2e-04
     60      3.22e+01    6.35e+01      7.63e-02    4.10e-01      1.01e+00    1.99e+00      1.82e-01    2.21e-01    2.5e-04
     70      1.90e+01    2.86e+01      2.03e-01    1.61e-01      5.65e-01    9.02e-01      2.42e-01    4.16e-02    2.0e-04
     80      6.14e+01    2.33e+01      1.93e-01    2.00e-01      1.94e+00    7.29e-01      9.20e-02    9.21e-02    1.6e-04
     90      6.79e+01    2.32e+01      2.75e-01    1.54e-01      2.13e+00    7.29e-01      2.94e-01    8.96e-02    1.3e-04
    100      6.24e+01    6.12e+01      1.59e-01    1.22e-01      1.97e+00    1.93e+00      9.07e-02    1.52e-01    1.0e-04
