#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      2.69e+01    2.50e+01      2.36e-01    2.07e-01      8.46e-01    7.86e-01      3.62e-02    6.51e-02    1.0e-03
     10      5.69e+01    2.25e+01      2.96e-01    7.63e-02      1.79e+00    7.08e-01      1.13e-01    8.13e-02    7.9e-04
     20      6.36e+01    2.30e+01      1.23e-01    1.39e-01      2.01e+00    7.16e-01      9.25e-02    1.45e-01    6.3e-04
     30      2.51e+01    6.03e+01      2.74e-01    1.58e-01      7.87e-01    1.89e+00      7.39e-02    2.65e-01    5.0e-04
     40      7.04e+01    2.80e+01      2.89e-01    1.79e-01      2.22e+00    8.75e-01      6.73e-02    1.48e-01    4.0e-04
     50      2.18e+01    1.68e+01      1.13e-01    1.26e-01      6.87e-01    5.30e-01      3.37e-02    3.18e-02    3.2e-04
     60      3.14e+01    6.49e+01      7.06e-02    4.05e-01      9.91e-01    2.04e+00      7.11e-02    1.75e-01    2.5e-04
     70      1.75e+01    2.91e+01      1.94e-01    1.92e-01      5.38e-01    9.13e-01      1.50e-01    1.34e-01    2.0e-04
     80      6.16e+01    2.39e+01      2.01e-01    2.29e-01      1.95e+00    7.49e-01      6.85e-02    4.70e-02    1.6e-04
     90      6.95e+01    2.37e+01      2.70e-01    1.81e-01      2.19e+00    7.45e-01      2.13e-01    4.21e-02    1.3e-04
    100      6.41e+01    6.26e+01      1.78e-01    9.99e-02      2.02e+00    1.98e+00      7.57e-02    8.44e-02    1.0e-04
